OCPM #,Make/Miss,SR Create TS,SR Close TS,CX - RC
409KCFZ,Miss,2019-11-20 14:01:00,2019-12-30 11:45:00,39.90555555555556
409K435,Miss,2019-11-19 14:27:00,2019-12-30 11:39:00,40.88333333333333
409KDVS,Miss,2019-11-20 14:38:00,2019-12-30 08:22:00,39.73888888888889
409GM8Q,Miss,2019-11-06 11:59:00,2019-12-30 12:31:00,54.022222222222226
409K3CH,Miss,2019-11-19 11:01:00,2019-12-30 11:37:00,41.025
409GG4H,Miss,2019-11-05 17:59:00,2019-12-31 12:24:00,55.767361111111114
409KJCB,Miss,2019-11-21 09:26:00,2019-12-31 12:00:00,40.106944444444444
409KLKQ,Miss,2019-11-21 13:26:00,2019-12-31 12:15:00,39.950694444444444
409KL36,Miss,2019-11-21 12:16:00,2019-12-31 12:00:00,39.98888888888889
409K44Z,Miss,2019-11-19 14:36:00,2019-12-31 12:16:00,41.90277777777778
409KKZD,Miss,2019-11-21 12:06:00,2019-12-31 12:10:00,40.00277777777778
409FV55,Miss,2019-11-02 12:14:00,2019-12-31 12:21:00,59.00486111111111
4099M87,Miss,2019-10-10 09:05:00,2019-12-31 15:09:00,82.25277777777778
4099W9P,Miss,2019-10-11 12:31:00,2019-12-31 13:48:00,81.05347222222223
409GPCV,Miss,2019-11-06 16:39:00,2019-12-31 11:44:00,54.795138888888886
409GVBK,Miss,2019-11-07 11:04:00,2019-12-17 15:05:00,40.16736111111111
409CP5C,Miss,2019-10-22 09:51:00,2019-12-23 11:39:00,62.075
409F65J,Miss,2019-10-29 20:08:00,2019-12-23 11:42:00,54.64861111111111
409F99M,Miss,2019-10-30 08:34:00,2019-12-23 17:27:00,54.37013888888889
409FJBB,Miss,2019-10-31 09:10:00,2019-12-23 11:45:00,53.107638888888886
409GDFW,Miss,2019-11-05 13:53:00,2019-12-23 12:33:00,47.94444444444444
409GDL6,Miss,2019-11-05 14:14:00,2019-12-23 09:33:00,47.80486111111111
409GP4V,Miss,2019-11-06 16:00:00,2019-12-23 10:30:00,46.770833333333336
409HCMN,Miss,2019-11-11 09:24:00,2019-12-23 15:28:00,42.25277777777778
409HNSY,Miss,2019-11-12 11:46:00,2019-12-23 13:43:00,41.08125
409HQWC,Miss,2019-11-12 14:53:00,2019-12-23 12:33:00,40.90277777777778
409JR37,Miss,2019-11-18 12:32:00,2020-01-02 20:10:00,45.31805555555555
409FD27,Miss,2019-10-30 13:59:00,2020-01-03 12:41:00,64.94583333333334
409JSCW,Miss,2019-11-18 15:08:00,2020-01-03 16:33:00,46.05902777777778
409KV6C,Miss,2019-11-22 13:35:00,2020-01-03 12:30:00,41.954861111111114
409GNSF,Miss,2019-11-06 15:22:00,2020-01-06 15:26:00,61.00277777777778
409LTK6,Miss,2019-11-28 11:39:00,2020-01-06 17:26:00,39.240972222222226
409JS84,Miss,2019-11-18 14:52:00,2020-01-06 16:30:00,49.06805555555555
409LGF6,Miss,2019-11-26 16:12:00,2020-01-06 16:57:00,41.03125
409GPRF,Miss,2019-11-06 15:10:00,2019-12-23 15:48:00,47.02638888888889
409GPTZ,Miss,2019-11-06 16:38:00,2019-12-23 19:01:00,47.09930555555555
409CDTT,Miss,2019-10-21 07:19:00,2019-12-19 16:06:00,59.365972222222226
409JHQ3,Miss,2019-11-15 15:08:00,2020-01-06 10:26:00,51.80416666666667
409KRWV,Miss,2019-11-22 10:31:00,2020-01-06 09:32:00,44.95902777777778
409LFL7,Miss,2019-11-26 13:08:00,2020-01-06 14:38:00,41.0625
409DPLS,Miss,2019-10-28 08:36:00,2020-01-06 14:42:00,70.25416666666666
409LFHY,Miss,2019-11-26 13:01:00,2020-01-06 09:25:00,40.85
409LFTN,Miss,2019-11-26 14:40:00,2020-01-06 13:39:00,40.95763888888889
409K4C7,Miss,2019-11-19 14:08:00,2020-01-06 10:29:00,47.84791666666667
409KS8T,Miss,2019-11-22 08:08:00,2020-01-06 12:35:00,45.18541666666667
409L7G9,Miss,2019-11-25 17:22:00,2020-01-06 09:32:00,41.673611111111114
409KWFC,Miss,2019-11-23 19:21:00,2020-01-06 19:26:00,44.00347222222222
409LF97,Miss,2019-11-26 13:29:00,2020-01-06 13:35:00,41.00416666666667
409F4LK,Miss,2019-10-29 13:35:00,2019-12-17 12:42:00,48.96319444444445
409K8MG,Miss,2019-11-20 09:14:00,2020-01-06 13:29:00,47.177083333333336
409KDGD,Miss,2019-11-20 16:07:00,2020-01-06 11:32:00,46.80902777777778
409KKN7,Miss,2019-11-21 10:27:00,2020-01-06 11:28:00,46.04236111111111
409GPDH,Miss,2019-11-06 13:40:00,2020-01-06 10:40:00,60.875
409HNMW,Miss,2019-11-12 12:21:00,2020-01-06 15:38:00,55.136805555555554
409L3W9,Miss,2019-11-25 10:18:00,2020-01-07 12:30:00,43.09166666666667
409LV25,Miss,2019-11-28 14:00:00,2020-01-07 09:41:00,39.82013888888889
409J7VD,Miss,2019-11-14 10:23:00,2020-01-07 10:22:00,53.99930555555556
409LFW7,Miss,2019-11-26 13:46:00,2020-01-07 12:26:00,41.94444444444444
409KDGW,Miss,2019-11-20 15:12:00,2020-01-07 10:43:00,47.81319444444444
409L7MH,Miss,2019-11-25 15:33:00,2020-01-07 10:44:00,42.799305555555556
409JBBY,Miss,2019-11-14 18:50:00,2020-01-07 11:36:00,53.69861111111111
409K2MN,Miss,2019-11-19 10:42:00,2020-01-07 09:29:00,48.949305555555554
409LGBS,Miss,2019-11-26 15:52:00,2020-01-07 10:29:00,41.77569444444445
409J9DF,Miss,2019-11-14 15:36:00,2020-01-07 14:58:00,53.97361111111111
409JNZ8,Miss,2019-11-18 09:26:00,2020-01-07 16:22:00,50.28888888888889
409L6TF,Miss,2019-11-25 15:41:00,2020-01-07 10:31:00,42.78472222222222
