OCPM #,Make/Miss,SR Create TS,SR Close TS,CX - RC,CQ TS
409JRV9,Miss,11/18/2019 14:10,12/30/2019 13:30,41.97222222,11/19/2019 15:30
409KBHR,Miss,11/20/2019 12:01,12/30/2019 10:35,39.94027778,11/21/2019 14:10
409KD56,Miss,11/20/2019 14:25,12/30/2019 9:35,39.79861111,11/21/2019 8:49
409G69L,Miss,11/4/2019 18:25,12/30/2019 11:38,55.71736111,11/5/2019 21:58
409GYVB,Miss,11/7/2019 16:40,12/30/2019 9:32,52.70277778,11/8/2019 0:00
409JRM8,Miss,11/18/2019 13:39,12/30/2019 10:32,41.87013889,11/19/2019 10:26
409KCFZ,Miss,11/20/2019 14:01,12/30/2019 11:45,39.90555556,11/21/2019 14:24
409K435,Miss,11/19/2019 14:27,12/30/2019 11:39,40.88333333,11/20/2019 12:32
409KDVS,Miss,11/20/2019 14:38,12/30/2019 8:22,39.73888889,11/21/2019 14:06
409GM8Q,Miss,11/6/2019 11:59,12/30/2019 12:31,54.02222222,11/6/2019 20:03
409K3CH,Miss,11/19/2019 11:01,12/30/2019 11:37,41.025,11/20/2019 17:48
409GG4H,Miss,11/5/2019 17:59,12/31/2019 12:24,55.76736111,11/11/2019 15:58
409KJCB,Miss,11/21/2019 9:26,12/31/2019 12:00,40.10694444,11/22/2019 17:58
409KLKQ,Miss,11/21/2019 13:26,12/31/2019 12:15,39.95069444,11/22/2019 21:46
409KL36,Miss,11/21/2019 12:16,12/31/2019 12:00,39.98888889,11/22/2019 18:35
409K44Z,Miss,11/19/2019 14:36,12/31/2019 12:16,41.90277778,11/20/2019 19:39
409KKZD,Miss,11/21/2019 12:06,12/31/2019 12:10,40.00277778,11/22/2019 18:20
409FV55,Miss,11/2/2019 12:14,12/31/2019 12:21,59.00486111,11/2/2019 14:56
4099M87,Miss,10/10/2019 9:05,12/31/2019 15:09,82.25277778,10/10/2019 9:10
4099W9P,Miss,10/11/2019 12:31,12/31/2019 13:48,81.05347222,10/11/2019 12:39
409GPCV,Miss,11/6/2019 16:39,12/31/2019 11:44,54.79513889,11/6/2019 16:46
409GVBK,Miss,11/7/2019 11:04,12/17/2019 15:05,40.16736111,11/7/2019 11:12
409CP5C,Miss,10/22/2019 9:51,12/23/2019 11:39,62.075,10/22/2019 9:59
409F65J,Miss,10/29/2019 20:08,12/23/2019 11:42,54.64861111,10/29/2019 20:20
409F99M,Miss,10/30/2019 8:34,12/23/2019 17:27,54.37013889,10/30/2019 8:38
409FJBB,Miss,10/31/2019 9:10,12/23/2019 11:45,53.10763889,10/31/2019 9:13
409GDFW,Miss,11/5/2019 13:53,12/23/2019 12:33,47.94444444,11/5/2019 14:11
409GDL6,Miss,11/5/2019 14:14,12/23/2019 9:33,47.80486111,11/5/2019 14:19
409GP4V,Miss,11/6/2019 16:00,12/23/2019 10:30,46.77083333,11/6/2019 18:32
409HCMN,Miss,11/11/2019 9:24,12/23/2019 15:28,42.25277778,11/11/2019 9:31
409HNSY,Miss,11/12/2019 11:46,12/23/2019 13:43,41.08125,11/12/2019 11:56
409HQWC,Miss,11/12/2019 14:53,12/23/2019 12:33,40.90277778,11/12/2019 15:02
409JR37,Miss,11/18/2019 12:32,1/2/2020 20:10,45.31805556,11/18/2019 12:43
409FD27,Miss,10/30/2019 13:59,1/3/2020 12:41,64.94583333,10/30/2019 20:59
409JSCW,Miss,11/18/2019 15:08,1/3/2020 16:33,46.05902778,11/19/2019 17:37
409KV6C,Miss,11/22/2019 13:35,1/3/2020 12:30,41.95486111,11/25/2019 4:44
409GNSF,Miss,11/6/2019 15:22,1/6/2020 15:26,61.00277778,11/6/2019 15:26
409LTK6,Miss,11/28/2019 11:39,1/6/2020 17:26,39.24097222,11/28/2019 12:02
409JS84,Miss,11/18/2019 14:52,1/6/2020 16:30,49.06805556,11/18/2019 15:00
409LGF6,Miss,11/26/2019 16:12,1/6/2020 16:57,41.03125,12/19/2019 0:00
409GPRF,Miss,11/6/2019 15:10,12/23/2019 15:48,47.02638889,11/6/2019 15:19
409GPTZ,Miss,11/6/2019 16:38,12/23/2019 19:01,47.09930556,11/6/2019 16:45
409CDTT,Miss,10/21/2019 7:19,12/19/2019 16:06,59.36597222,10/21/2019 7:52
409JHQ3,Miss,11/15/2019 15:08,1/6/2020 10:26,51.80416667,11/17/2019 5:37
409KRWV,Miss,11/22/2019 10:31,1/6/2020 9:32,44.95902778,11/23/2019 11:31
409LFL7,Miss,11/26/2019 13:08,1/6/2020 14:38,41.0625,11/27/2019 6:11
409DPLS,Miss,10/28/2019 8:36,1/6/2020 14:42,70.25416667,10/28/2019 21:59
409LFHY,Miss,11/26/2019 13:01,1/6/2020 9:25,40.85,11/26/2019 17:15
409LFTN,Miss,11/26/2019 14:40,1/6/2020 13:39,40.95763889,11/27/2019 10:51
409K4C7,Miss,11/19/2019 14:08,1/6/2020 10:29,47.84791667,11/19/2019 22:08
409KS8T,Miss,11/22/2019 8:08,1/6/2020 12:35,45.18541667,11/23/2019 2:51
409L7G9,Miss,11/25/2019 17:22,1/6/2020 9:32,41.67361111,11/26/2019 10:23
409KWFC,Miss,11/23/2019 19:21,1/6/2020 19:26,44.00347222,11/24/2019 10:51
409LF97,Miss,11/26/2019 13:29,1/6/2020 13:35,41.00416667,11/26/2019 17:44
409F4LK,Miss,10/29/2019 13:35,12/17/2019 12:42,48.96319444,10/30/2019 19:03
409K8MG,Miss,11/20/2019 9:14,1/6/2020 13:29,47.17708333,11/20/2019 10:58
409KDGD,Miss,11/20/2019 16:07,1/6/2020 11:32,46.80902778,11/20/2019 19:06
409KKN7,Miss,11/21/2019 10:27,1/6/2020 11:28,46.04236111,11/21/2019 21:05
409GPDH,Miss,11/6/2019 13:40,1/6/2020 10:40,60.875,11/6/2019 21:44
409HNMW,Miss,11/12/2019 12:21,1/6/2020 15:38,55.13680556,11/12/2019 18:25
409L3W9,Miss,11/25/2019 10:18,1/7/2020 12:30,43.09166667,11/25/2019 10:30
409LV25,Miss,11/28/2019 14:00,1/7/2020 9:41,39.82013889,11/28/2019 14:17
409J7VD,Miss,11/14/2019 10:23,1/7/2020 10:22,53.99930556,11/14/2019 10:36
409LFW7,Miss,11/26/2019 13:46,1/7/2020 12:26,41.94444444,11/26/2019 14:44
409KDGW,Miss,11/20/2019 15:12,1/7/2020 10:43,47.81319444,11/21/2019 12:58
409L7MH,Miss,11/25/2019 15:33,1/7/2020 10:44,42.79930556,11/27/2019 9:23
409JBBY,Miss,11/14/2019 18:50,1/7/2020 11:36,53.69861111,11/15/2019 0:04
409K2MN,Miss,11/19/2019 10:42,1/7/2020 9:29,48.94930556,11/20/2019 11:47
409LGBS,Miss,11/26/2019 15:52,1/7/2020 10:29,41.77569444,11/27/2019 10:13
409J9DF,Miss,11/14/2019 15:36,1/7/2020 14:58,53.97361111,11/14/2019 16:42
409JNZ8,Miss,11/18/2019 9:26,1/7/2020 16:22,50.28888889,11/18/2019 9:37
409L6TF,Miss,11/25/2019 15:41,1/7/2020 10:31,42.78472222,11/26/2019 2:27
409LF5S,Miss,11/26/2019 11:14,1/7/2020 12:58,42.07222222,11/26/2019 19:26
409JQQ9,Miss,11/18/2019 11:47,1/8/2020 12:55,51.04722222,11/18/2019 11:52
409KV89,Miss,11/22/2019 15:49,1/8/2020 16:01,47.00833333,11/22/2019 15:50
409M2NR,Miss,11/29/2019 15:46,1/8/2020 11:09,39.80763889,12/2/2019 8:21
409GFF4,Miss,11/5/2019 15:45,12/23/2019 12:40,47.87152778,11/6/2019 13:04
409K7VN,Miss,11/20/2019 7:38,1/8/2020 15:27,49.32569444,11/20/2019 15:46
409GL8Y,Miss,11/6/2019 7:26,1/8/2020 9:11,63.07291667,11/7/2019 5:37
409GPF2,Miss,11/6/2019 16:45,1/8/2020 8:59,62.67638889,11/7/2019 1:04
409KD4C,Miss,11/20/2019 15:21,1/8/2020 9:55,48.77361111,11/21/2019 10:05
409FS9C,Miss,11/1/2019 14:00,12/23/2019 13:42,51.9875,11/2/2019 11:27
409HY5K,Miss,11/13/2019 10:02,1/9/2020 13:17,57.13541667,11/13/2019 10:04
409H5M2,Miss,11/8/2019 12:04,1/9/2020 16:13,62.17291667,11/8/2019 12:10
409JRY5,Miss,11/18/2019 11:20,1/9/2020 11:56,52.025,11/18/2019 11:30
409JZ9Z,Miss,11/19/2019 10:46,1/9/2020 15:02,51.17777778,11/19/2019 10:48
409F5M5,Miss,10/29/2019 16:04,12/24/2019 14:29,55.93402778,10/29/2019 16:27
409KN23,Miss,11/21/2019 13:54,1/9/2020 14:21,49.01875,11/21/2019 14:02
409L5BT,Miss,11/25/2019 12:35,1/9/2020 11:12,44.94236111,11/25/2019 12:48
409KLTK,Miss,11/21/2019 14:01,1/9/2020 10:51,48.86805556,11/21/2019 15:31
409K4DF,Miss,11/19/2019 14:15,1/9/2020 9:57,50.82083333,11/20/2019 3:49
409KBJG,Miss,11/20/2019 9:04,1/9/2020 13:53,50.20069444,11/20/2019 12:22
409GD5G,Miss,11/5/2019 12:15,12/18/2019 11:38,42.97430556,11/5/2019 12:27
409GVGZ,Miss,11/7/2019 10:18,12/18/2019 12:42,41.1,11/7/2019 18:53
