OCPM #,Make/Miss,SR Create TS,SR Close TS,Cust Contact TS,Close and Create Diff
409T76W,Make,2020-01-09 13:36:00,2020-01-13 10:44:00,2020-01-10 12:02:00,3 days 21:08:00.000000000
409T7FY,Make,2020-01-09 14:07:00,2020-01-13 11:54:00,2020-01-13 09:58:00,3 days 21:47:00.000000000
409TCLZ,Make,2020-01-10 08:53:00,2020-01-13 15:11:00,2020-01-13 09:40:00,3 days 06:18:00.000000000
409TDB5,Make,2020-01-10 10:05:00,2020-01-13 11:50:00,,3 days 01:45:00.000000000
409SV7P,Make,2020-01-08 11:25:00,2020-01-13 13:33:00,2020-01-08 11:25:00,5 days 02:08:00.000000000
409TD8L,Make,2020-01-10 10:02:00,2020-01-13 14:40:00,2020-01-10 10:04:00,3 days 04:38:00.000000000
409SY92,Make,2020-01-08 13:19:00,2020-01-13 11:59:00,2020-01-08 13:19:00,4 days 22:40:00.000000000
409T5ZG,Make,2020-01-09 10:18:00,2020-01-13 14:40:00,2020-01-10 11:22:00,4 days 04:22:00.000000000
409SLQ9,Miss,2020-01-07 10:56:00,2020-01-13 14:43:00,2020-01-07 11:09:00,6 days 03:47:00.000000000
409SNSK,Miss,2020-01-07 16:45:00,2020-01-13 14:50:00,2020-01-07 16:46:00,5 days 22:05:00.000000000
409SYW5,Make,2020-01-08 13:56:00,2020-01-13 08:34:00,2020-01-08 16:58:00,4 days 18:38:00.000000000
BNBDCFC,Make,2020-01-09 17:37:00,2020-01-13 15:41:00,2020-01-13 13:01:00,3 days 22:04:00.000000000
409T5GD,Make,2020-01-09 09:26:00,2020-01-13 17:04:00,2020-01-09 09:28:00,4 days 07:38:00.000000000
409T7B6,Make,2020-01-09 12:50:00,2020-01-13 15:04:00,2020-01-09 13:54:00,4 days 02:14:00.000000000
409TFB2,Make,2020-01-10 10:52:00,2020-01-13 13:41:00,2020-01-10 11:18:00,3 days 02:49:00.000000000
409SYZK,Make,2020-01-08 16:15:00,2020-01-13 15:35:00,2020-01-09 09:18:00,4 days 23:20:00.000000000
409TGSK,Make,2020-01-10 15:37:00,2020-01-13 13:57:00,2020-01-13 08:05:00,2 days 22:20:00.000000000
409TRZZ,Make,2020-01-13 16:01:00,2020-01-13 16:06:00,2020-01-13 16:01:00,0 days 00:05:00.000000000
409SW5V,Make,2020-01-08 10:08:00,2020-01-11 11:33:00,,3 days 01:25:00.000000000
409SNBG,Make,2020-01-07 15:12:00,2020-01-11 21:25:00,2020-01-07 15:13:00,4 days 06:13:00.000000000
409SLV7,Make,2020-01-07 11:11:00,2020-01-11 20:23:00,2020-01-07 11:12:00,4 days 09:12:00.000000000
409SDLF,Make,2020-01-06 14:05:00,2020-01-11 19:17:00,,5 days 05:12:00.000000000
